Change Component Designator: OldDesignator=U? NewDesignator=U1
Change Component Library : Designator=U1 Old Library=robo_cam.IntLib New Library=ROBOCAM_1.SCHLIB
Change component parameters: Designator = "U?" ("U?"); Footprint = "BGA548C50P29X29_1500X1500X148"; UniqueID = "\CPSMDJYY" ("\CPSMDJYY")
Change component parameters (AddParameter): Name = "Alternative component"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ClassName"; Value = "BIG"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Component Type"; Value = "Processor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "1_Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.nxp.com/part/MIMX8ML8CVNKZAB#/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "2_Product page"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "3_X-information"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "4_X-information"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Creation date"; Value = "20240524"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Design Item ID"; Value = "MIMX8ML8CVNKZAB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dimensions WxLxH"; Value = "15 x 15 x 1.33mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ECCN"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "HasBeenBuilt"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "NXP Semiconductors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "MIMX8ML8CVNKZAB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating temperature range"; Value = "-40... +105 °C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "FCBGA548"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "MIMX8ML8CVNKZAB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Remark"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Sort order"; Value = "501"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Source"; Value = "UUDET_KOMPONENTIT.SchLib"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "System"; Value = "IC"; VariantName = "[No Variations]"
